No,time to rise,time to fall,Voltage,Radius,distance,vg,vE,Q,Qc,Qc/Charge of Electron
1,24.31,18.9,548,1.29064E-06,0.0042666,0.000175508,0.000225746,1.94007E-18,1.80727E-18,11
2,24.62,30.3,548,1.28249E-06,,0.000173298,0.000140812,1.50914E-18,1.40521E-18,9
3,10.16,6.4,548,1.99641E-06,,0.000419941,0.000666656,8.12666E-18,7.75959E-18,48
4,36.91,22.4,549,1.04743E-06,,0.000115595,0.000190473,1.19879E-18,1.09901E-18,7
5,10.26,12.8,550,1.98666E-06,,0.000415848,0.000333328,5.55544E-18,5.30332E-18,33
6,22.74,7.5,550,1.33445E-06,,0.000187625,0.00056888,3.76812E-18,3.51819E-18,22
7,54.33,26.2,550,8.63331E-07,,7.85312E-05,0.000162847,7.77834E-19,7.00443E-19,4
8,16.11,7.6,551,1.58544E-06,,0.000264842,0.000561395,4.88063E-18,4.60573E-18,29
9,16.28,8.4,551,1.57714E-06,,0.000262076,0.000507929,4.52466E-18,4.26853E-18,27
10,30.47,8.8,552,1.15282E-06,,0.000140026,0.000484841,2.67907E-18,2.47516E-18,15
11,14.06,10.7,552,1.69709E-06,,0.000303457,0.000398748,4.43203E-18,4.19809E-18,26
12,16.62,12.1,553,1.56092E-06,,0.000256715,0.000352612,3.53086E-18,3.32901E-18,21
13,41.48,36.7,554,9.88047E-07,,0.000102859,0.000116256,8.02259E-19,7.31767E-19,5
14,14.71,13.2,553,1.65917E-06,,0.000290048,0.000323227,3.77741E-18,3.57368E-18,22
15,31.39,127.3,552,1.1358E-06,,0.000135922,3.35161E-05,7.15728E-19,6.60489E-19,4
16,26.98,9.5,553,1.22511E-06,,0.000158139,0.000449116,2.76182E-18,2.56327E-18,16
17,28.65,6.7,552,1.18887E-06,,0.000148921,0.000636806,3.47409E-18,3.21719E-18,20
18,29.3,17.9,549,1.17561E-06,,0.000145618,0.000238358,1.68798E-18,1.56184E-18,10
19,24.7,30.2,549,1.28041E-06,,0.000172737,0.000141278,1.50349E-18,1.3998E-18,9
20,52.76,15.7,549,8.76082E-07,,8.08681E-05,0.000271758,1.15521E-18,1.04181E-18,7
21,33.84,73.2,549,1.09391E-06,,0.000126082,5.82869E-05,7.54171E-19,6.93887E-19,4
22,45.3,20.3,549,9.45471E-07,,9.41854E-05,0.000210177,1.07607E-18,9.77591E-19,6
23,31.45,19.9,551,1.13472E-06,,0.000135663,0.000214402,1.47999E-18,1.36566E-18,9
24,33.41,18.2,551,1.10093E-06,,0.000127704,0.000234429,1.48542E-18,1.36739E-18,9
25,48.91,30.1,550,9.0991E-07,,8.72337E-05,0.000141748,7.77695E-19,7.03962E-19,4
26,43.25,20,550,9.67618E-07,,9.86497E-05,0.00021333,1.12679E-18,1.02585E-18,6
27,25.37,26.4,551,1.26339E-06,,0.000168175,0.000161614,1.55237E-18,1.44395E-18,9
28,31.63,18.9,550,1.13148E-06,,0.000134891,0.000225746,1.5231E-18,1.40513E-18,9
29,63.88,9.4,547,7.96186E-07,,6.67909E-05,0.000453894,1.55588E-18,1.3892E-18,9
30,29.37,7.1,548,1.17421E-06,,0.000145271,0.00060093,3.28242E-18,3.03685E-18,19
31,32.02,99.9,549,1.12457E-06,,0.000133248,4.27087E-05,7.39935E-19,6.82295E-19,4
32,96.12,11,546,6.49068E-07,,4.43883E-05,0.000387873,1.05492E-18,9.19075E-19,6
33,6.77,8.56,547,2.4457E-06,,0.000630222,0.000498435,1.03598E-17,9.97514E-18,62
34,14.99,7.2,548,1.6436E-06,,0.00028463,0.000592583,5.40126E-18,5.1073E-18,32
35,15.69,10.7,549,1.60652E-06,,0.000271931,0.000398748,4.02904E-18,3.80494E-18,24
36,17.1,11.4,550,1.53886E-06,,0.000249509,0.000374263,3.58291E-18,3.37529E-18,21
37,34.76,27.5,551,1.07934E-06,,0.000122745,0.000155149,1.11753E-18,1.02707E-18,6
38,14.16,14.3,550,1.69109E-06,,0.000301314,0.000298364,3.78525E-18,3.58477E-18,22
39,15.21,86.7,551,1.63167E-06,,0.000280513,4.92111E-05,2.0045E-18,1.89464E-18,12
40,6.33,35.3,551,2.52927E-06,,0.000674028,0.000120867,7.49079E-18,7.22157E-18,45
41,6.67,36.4,552,2.46396E-06,,0.00063967,0.000117214,6.93583E-18,6.68016E-18,42
42,28.13,22.5,553,1.19981E-06,,0.000151674,0.000189627,1.52019E-18,1.40874E-18,9
43,51.42,32.5,553,8.87424E-07,,8.29755E-05,0.00013128,7.05849E-19,6.37371E-19,4
44,39.6,22.7,555,1.01123E-06,,0.000107742,0.000187956,1.10606E-18,1.01094E-18,6
45,9.13,7.9,556,2.10602E-06,,0.000467317,0.000540076,7.83357E-18,7.49748E-18,47
46,9.62,8.1,556,2.05168E-06,,0.000443514,0.000526741,7.35012E-18,7.02673E-18,44
47,20.08,15.5,554,1.42009E-06,,0.00021248,0.000275265,2.56668E-18,2.40616E-18,15
48,16.02,16.9,554,1.58989E-06,,0.00026633,0.000252462,3.05649E-18,2.88479E-18,18
49,16.9,17,555,1.54794E-06,,0.000252462,0.000250976,2.88258E-18,2.71647E-18,17
50,34.84,5.8,554,1.0781E-06,,0.000122463,0.000735621,3.42809E-18,3.15032E-18,20
,,,550.86,1.37435E-06,,,,3.00733E-18,2.81333E-18,18
